SID,DeviceID,ObservationTimestamp,LocalTimestamp,AirTemperature,BarometricPressure,RelativeHumidity
2024-10-18T00:05:51Z_18zua9muwbb,18zua9muwbb,10/18/2024 0:05,10/18/2024 8:05,18.43,1017.31,77.6
2024-10-18T00:36:52Z_18zua9muwbb,18zua9muwbb,10/18/2024 0:36,10/18/2024 8:36,19.03,1017.53,69.37
2024-10-18T00:52:14Z_18zua9muwbb,18zua9muwbb,10/18/2024 0:52,10/18/2024 8:52,19.27,1017.76,64.08
2024-10-18T01:07:53Z_18zua9muwbb,18zua9muwbb,10/18/2024 1:07,10/18/2024 9:07,19.44,1017.63,63.13
2024-10-18T01:23:16Z_18zua9muwbb,18zua9muwbb,10/18/2024 1:23,10/18/2024 9:23,19.79,1017.58,61.22
2024-10-18T01:38:39Z_18zua9muwbb,18zua9muwbb,10/18/2024 1:38,10/18/2024 9:38,20,1017.64,61.94
2024-10-18T02:09:46Z_18zua9muwbb,18zua9muwbb,10/18/2024 2:09,10/18/2024 10:09,20.55,1017.78,62.96
2024-10-18T02:25:18Z_18zua9muwbb,18zua9muwbb,10/18/2024 2:25,10/18/2024 10:25,20.78,1017.75,62.49
2024-10-18T02:29:16Z_18zua9muwbb,18zua9muwbb,10/18/2024 2:29,10/18/2024 10:29,20.78,1017.73,62.81
2024-10-18T02:45:06Z_18zua9muwbb,18zua9muwbb,10/18/2024 2:45,10/18/2024 10:45,20.81,1017.7,62.22
2024-10-18T03:00:42Z_18zua9muwbb,18zua9muwbb,10/18/2024 3:00,10/18/2024 11:00,21,1017.62,60.67
2024-10-18T03:16:14Z_18zua9muwbb,18zua9muwbb,10/18/2024 3:16,10/18/2024 11:16,21.28,1017.43,60.32
2024-10-18T03:31:39Z_18zua9muwbb,18zua9muwbb,10/18/2024 3:31,10/18/2024 11:31,21.42,1017.38,57.82
2024-10-18T04:18:32Z_18zua9muwbb,18zua9muwbb,10/18/2024 4:18,10/18/2024 12:18,22.76,1017.11,55.88
2024-10-18T04:34:04Z_18zua9muwbb,18zua9muwbb,10/18/2024 4:34,10/18/2024 12:34,22.72,1017.19,56.7
2024-10-18T04:49:26Z_18zua9muwbb,18zua9muwbb,10/18/2024 4:49,10/18/2024 12:49,22.22,1017.14,58.29
2024-10-18T05:04:48Z_18zua9muwbb,18zua9muwbb,10/18/2024 5:04,10/18/2024 13:04,22.43,1017.09,56.11
2024-10-18T05:20:12Z_18zua9muwbb,18zua9muwbb,10/18/2024 5:20,10/18/2024 13:20,22.54,1016.96,54.98
2024-10-18T05:35:35Z_18zua9muwbb,18zua9muwbb,10/18/2024 5:35,10/18/2024 13:35,22.9,1016.85,53.27
2024-10-18T05:51:14Z_18zua9muwbb,18zua9muwbb,10/18/2024 5:51,10/18/2024 13:51,23.02,1016.94,52.81
2024-10-18T06:06:37Z_18zua9muwbb,18zua9muwbb,10/18/2024 6:06,10/18/2024 14:06,23.09,1016.84,52.24
2024-10-18T06:21:58Z_18zua9muwbb,18zua9muwbb,10/18/2024 6:21,10/18/2024 14:21,23.17,1016.78,51.2
2024-10-18T06:37:20Z_18zua9muwbb,18zua9muwbb,10/18/2024 6:37,10/18/2024 14:37,23.44,1016.66,51.78
2024-10-18T06:52:52Z_18zua9muwbb,18zua9muwbb,10/18/2024 6:52,10/18/2024 14:52,23.44,1016.62,51.27
2024-10-18T07:08:14Z_18zua9muwbb,18zua9muwbb,10/18/2024 7:08,10/18/2024 15:08,23.79,1016.45,51.23
2024-10-18T07:23:36Z_18zua9muwbb,18zua9muwbb,10/18/2024 7:23,10/18/2024 15:23,23.88,1016.5,51.13
2024-10-18T07:39:21Z_18zua9muwbb,18zua9muwbb,10/18/2024 7:39,10/18/2024 15:39,23.72,1016.61,52.13
2024-10-18T07:54:53Z_18zua9muwbb,18zua9muwbb,10/18/2024 7:54,10/18/2024 15:54,23.94,1016.67,52.45
2024-10-18T08:10:18Z_18zua9muwbb,18zua9muwbb,10/18/2024 8:10,10/18/2024 16:10,23.68,1016.52,54.25
2024-10-18T08:25:40Z_18zua9muwbb,18zua9muwbb,10/18/2024 8:25,10/18/2024 16:25,22.84,1016.6,54.69
2024-10-18T08:41:18Z_18zua9muwbb,18zua9muwbb,10/18/2024 8:41,10/18/2024 16:41,23.44,1016.74,52.09
2024-10-18T08:56:40Z_18zua9muwbb,18zua9muwbb,10/18/2024 8:56,10/18/2024 16:56,23.71,1016.79,51.99
2024-10-18T09:12:25Z_18zua9muwbb,18zua9muwbb,10/18/2024 9:12,10/18/2024 17:12,23.36,1016.93,51.39
2024-10-18T09:27:49Z_18zua9muwbb,18zua9muwbb,10/18/2024 9:27,10/18/2024 17:27,22.86,1016.95,52.28
2024-10-18T09:43:21Z_18zua9muwbb,18zua9muwbb,10/18/2024 9:43,10/18/2024 17:43,22.28,1017,56.42
2024-10-18T09:59:06Z_18zua9muwbb,18zua9muwbb,10/18/2024 9:59,10/18/2024 17:59,21.95,1017.11,55.47
2024-10-18T10:15:08Z_18zua9muwbb,18zua9muwbb,10/18/2024 10:15,10/18/2024 18:15,21.3,1017.03,56.36
2024-10-18T10:30:31Z_18zua9muwbb,18zua9muwbb,10/18/2024 10:30,10/18/2024 18:30,20.8,1017.03,58.63
2024-10-18T10:45:53Z_18zua9muwbb,18zua9muwbb,10/18/2024 10:45,10/18/2024 18:45,20.54,1017,59.45
2024-10-18T11:01:25Z_18zua9muwbb,18zua9muwbb,10/18/2024 11:01,10/18/2024 19:01,20.34,1017.09,60.1
2024-10-18T11:16:47Z_18zua9muwbb,18zua9muwbb,10/18/2024 11:16,10/18/2024 19:16,20.22,1017.01,63.68
2024-10-18T11:32:19Z_18zua9muwbb,18zua9muwbb,10/18/2024 11:32,10/18/2024 19:32,20.01,1017.04,62.79
2024-10-18T11:47:41Z_18zua9muwbb,18zua9muwbb,10/18/2024 11:47,10/18/2024 19:47,19.93,1017.14,62.75
2024-10-18T12:03:03Z_18zua9muwbb,18zua9muwbb,10/18/2024 12:03,10/18/2024 20:03,19.87,1017.27,63.4
2024-10-18T12:18:25Z_18zua9muwbb,18zua9muwbb,10/18/2024 12:18,10/18/2024 20:18,19.8,1017.19,64.78
2024-10-18T12:34:03Z_18zua9muwbb,18zua9muwbb,10/18/2024 12:34,10/18/2024 20:34,19.67,1017.25,66.55
2024-10-18T12:49:35Z_18zua9muwbb,18zua9muwbb,10/18/2024 12:49,10/18/2024 20:49,19.5,1017.47,67.25
