"SID","DeviceID","ObservationTimestamp","LocalTimestamp","AirTemperature","BarometricPressure","RelativeHumidity","Hour","PredictedTemperature","Residuals"
"2024-10-18T00:05:51Z_18zua9muwbb","18zua9muwbb","10/18/2024 0:05",2024-10-18 08:05:00,18.43,1017.31,77.6,8,19.3566669468722,-0.926666946872189
"2024-10-18T00:36:52Z_18zua9muwbb","18zua9muwbb","10/18/2024 0:36",2024-10-18 08:36:00,19.03,1017.53,69.37,8,20.3995026009252,-1.36950260092519
"2024-10-18T00:52:14Z_18zua9muwbb","18zua9muwbb","10/18/2024 0:52",2024-10-18 08:52:00,19.27,1017.76,64.08,8,21.0315868202179,-1.76158682021785
"2024-10-18T01:07:53Z_18zua9muwbb","18zua9muwbb","10/18/2024 1:07",2024-10-18 09:07:00,19.44,1017.63,63.13,9,21.2190030342481,-1.77900303424812
"2024-10-18T01:23:16Z_18zua9muwbb","18zua9muwbb","10/18/2024 1:23",2024-10-18 09:23:00,19.79,1017.58,61.22,9,21.5046199429531,-1.71461994295311
"2024-10-18T01:38:39Z_18zua9muwbb","18zua9muwbb","10/18/2024 1:38",2024-10-18 09:38:00,20,1017.64,61.94,9,21.3791991596793,-1.37919915967931
"2024-10-18T02:09:46Z_18zua9muwbb","18zua9muwbb","10/18/2024 2:09",2024-10-18 10:09:00,20.55,1017.78,62.96,10,21.1777916798354,-0.627791679835365
"2024-10-18T02:25:18Z_18zua9muwbb","18zua9muwbb","10/18/2024 2:25",2024-10-18 10:25:00,20.78,1017.75,62.49,10,21.2557089072158,-0.475708907215832
"2024-10-18T02:29:16Z_18zua9muwbb","18zua9muwbb","10/18/2024 2:29",2024-10-18 10:29:00,20.78,1017.73,62.81,10,21.2200992166427,-0.440099216642686
"2024-10-18T02:45:06Z_18zua9muwbb","18zua9muwbb","10/18/2024 2:45",2024-10-18 10:45:00,20.81,1017.7,62.22,10,21.3146057193799,-0.504605719379867
"2024-10-18T03:00:42Z_18zua9muwbb","18zua9muwbb","10/18/2024 3:00",2024-10-18 11:00:00,21,1017.62,60.67,11,21.5633973675818,-0.563397367581842
"2024-10-18T03:16:14Z_18zua9muwbb","18zua9muwbb","10/18/2024 3:16",2024-10-18 11:16:00,21.28,1017.43,60.32,11,21.6937523359628,-0.413752335962752
"2024-10-18T03:31:39Z_18zua9muwbb","18zua9muwbb","10/18/2024 3:31",2024-10-18 11:31:00,21.42,1017.38,57.82,11,22.0609331818379,-0.640933181837898
"2024-10-18T04:18:32Z_18zua9muwbb","18zua9muwbb","10/18/2024 4:18",2024-10-18 12:18:00,22.76,1017.11,55.88,12,22.4456095568729,0.314390443127056
